id;name;description;price;provider;created_by;created_date;last_modified_by;last_modified_date
8ae32091-f316-46ab-8d94-4f610013a08a;unless into gee;failing reclaim;28931.18;disembark;and impeach;2024-07-04T08:04:20;mechanically gah;2024-07-04T04:07:53
04f50ef1-72f6-480e-aca7-463f8d2d149b;arrogantly;onto;31311.19;defrock drawer;until psst smelting;2024-07-04T06:55:37;retest deeply;2024-07-04T02:27:31
3b46c9b4-2ad9-411c-8d46-837b5f15b35f;famously;reluctantly once;27591.08;standardization bludge;whoa yowza instead;2024-07-03T21:51:17;serious;2024-07-04T08:23:34
7fdde84b-00b5-4e96-8bef-4c9d54d43f81;unfit;unabashedly tangible fairly;17684.32;worth um or;busy;2024-07-04T02:29:50;finally interject kookily;2024-07-03T16:27:34
f54bca8c-111b-4f09-8f59-d03ef3d40414;beyond aside pro;extremely however noon;2440.89;scarily how;impeccable;2024-07-04T05:02:38;finally cartilage schoolhouse;2024-07-03T16:31:32
327bd3f8-9a79-4bec-aa20-776d17077a5e;this hen however;barren boo;24774.36;vibrant;kindly separately supposing;2024-07-03T16:18:54;alongside when;2024-07-04T06:32:04
0398169f-bb53-4664-a48a-4f92343629ae;though;amused scarecrow;21892.69;as utter;before subordinate;2024-07-03T23:45:47;if concerning;2024-07-04T00:36:30
ee315759-7b5d-4dd7-acee-a0addce8a4a9;where corny;mysteriously or;7713.42;phooey;bah kaleidoscopic;2024-07-03T21:18:36;thoroughly where;2024-07-04T09:14:41
1d88d8a8-6872-45e1-a64d-641f9e2ec1c0;zowie;qua repent;21460.31;tout;guest belly geez;2024-07-03T22:57:45;wilt true searchingly;2024-07-04T07:36:26
9e6cd99d-21dd-4eee-854c-38cd7631915e;oof;meh aw;25032.69;since;coolly unless boohoo;2024-07-03T15:27:06;seldom rarely;2024-07-03T12:22:17
